Phytochemical,Plant,CID,SMILES,Database,Target_Name,Gene_Symbol,UniProt_ID,ChEMBL_ID,Target_Class,Target_Key,Probability,P_Value,Max_Tc,Rank
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,Acetylcholinesterase,ACHE,P22303,CHEMBL220,Hydrolase,P22303,0.123286593176,,,1
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,Vitamin D receptor,VDR,P11473,CHEMBL1977,Nuclear receptor,P11473,0.0926446451291,,,2
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,Dual specificity phosphatase Cdc25A,CDC25A,P30304,CHEMBL3775,Phosphatase,P30304,0.0517133123472,,,3
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,P18031,0.0414702990123,,,4
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,HMG-CoA reductase,HMGCR,P04035,CHEMBL402,Oxidoreductase,P04035,0.0312265582077,,,5
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,P11511,0.0312265582077,,,6
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,UDP-glucuronosyltransferase 2B7,UGT2B7,P16662,CHEMBL4370,Enzyme,P16662,0.0312265582077,,,7
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,Thromboxane-A synthase,TBXAS1,P24557,CHEMBL1835,Cytochrome P450,P24557,0.0312265582077,,,8
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,Cytochrome P450 11B1,CYP11B1,P15538,CHEMBL1908,Cytochrome P450,P15538,0.0312265582077,,,9
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,Cytochrome P450 11B2,CYP11B2,P19099,CHEMBL2722,Cytochrome P450,P19099,0.0312265582077,,,10
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,DNA polymerase alpha subunit,POLA1,P09884,CHEMBL1828,Transferase,P09884,0.0312265582077,,,11
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,P28845,0.0312265582077,,,12
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,Alpha-2a adrenergic receptor,ADRA2A,P08913,CHEMBL1867,Family A G protein-coupled receptor,P08913,0.0312265582077,,,13
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,Adrenergic receptor alpha-2,ADRA2C,P18825,CHEMBL1916,Family A G protein-coupled receptor,P18825,0.0312265582077,,,14
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SwissTargetPrediction,Alpha-2b adrenergic receptor,ADRA2B,P18089,CHEMBL1942,Family A G protein-coupled receptor,P18089,0.0312265582077,,,15
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Aldose reductase,AKR1B1,P15121,CHEMBL1900,Enzyme,P15121,1.0,,,1
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,P00918,1.0,,,2
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,P43166,1.0,,,3
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Estrogen receptor beta,ESR2,Q92731,CHEMBL242,Nuclear receptor,Q92731,1.0,,,4
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Carbonic anhydrase I,CA1,P00915,CHEMBL261,Lyase,P00915,1.0,,,5
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Carbonic anhydrase III,CA3,P07451,CHEMBL2885,Lyase,P07451,1.0,,,6
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Carbonic anhydrase VI,CA6,P23280,CHEMBL3025,Lyase,P23280,1.0,,,7
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,O43570,1.0,,,8
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Carbonic anhydrase XIV,CA14,Q9ULX7,CHEMBL3510,Lyase,Q9ULX7,1.0,,,9
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Carbonic anhydrase IX,CA9,Q16790,CHEMBL3594,Lyase,Q16790,1.0,,,10
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,P22748,1.0,,,11
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Carbonic anhydrase VB,CA5B,Q9Y2D0,CHEMBL3969,Lyase,Q9Y2D0,1.0,,,12
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Carbonic anhydrase VA,CA5A,P35218,CHEMBL4789,Lyase,P35218,1.0,,,13
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Macrophage migration inhibitory factor,MIF,P14174,CHEMBL2085,Enzyme,P14174,0.258510080397,,,14
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SwissTargetPrediction,Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,P09917,0.208479014792,,,15
